event_id,user_id,account_id,event_type,pipeline_value,timestamp,utm_campaign
e90225c0-38a8-476d-9a47-434dc0ca2cd7,33,1,Opportunity Created,17965294.13,2026-03-20 10:57:39.423154,CMP_PAST_OIL_GAS_US
b000f6d8-736f-4e55-a35c-e8a4daabd97c,50,1,Opportunity Created,11064750.04,2026-03-06 02:57:39.423154,CMP_PAST_OIL_GAS_US
a84f26f8-6c87-4698-a57e-8249625deba8,68,2,Opportunity Created,9368889.34,2026-05-15 12:57:39.423154,CMP_PAST_OIL_GAS_US
d89c5a88-2ab4-4784-847b-be68bda11c30,81,2,Opportunity Created,17171133.54,2025-07-20 04:57:39.423154,CMP_PAST_MIDDLE_EAST
e6dcde0a-8adf-4ce1-839b-1bbc637d5281,89,3,Opportunity Created,19604042.25,2025-10-15 09:57:39.423154,CMP_PAST_MIDDLE_EAST
26e422c6-6c13-4c44-9da2-07e39f139057,91,3,Opportunity Created,10472918.5,2025-07-25 21:57:39.423154,CMP_PAST_MIDDLE_EAST
e1ef8357-df90-4cdf-bb82-2d69c8570fbc,101,3,Opportunity Created,9856571.93,2025-12-30 13:57:39.423154,CMP_PAST_MIDDLE_EAST
8e95c35c-1f48-476a-a3f5-27d14bcd3abf,112,3,Opportunity Created,11360221.6,2025-04-08 22:57:39.423154,CMP_PAST_O_M_2026
06aaf795-a7ea-4d30-8e6c-9dd0cf61acd3,113,3,Opportunity Created,7058522.08,2025-08-17 16:57:39.423154,CMP_PAST_MIDDLE_EAST
38ca9b82-ec02-496a-8fd1-117f2522ee90,114,3,Opportunity Created,13636387.41,2025-05-22 04:57:39.423154,CMP_PAST_O_M_2026
57e43c2e-04e5-460d-a65d-128fe4a0fbf2,176,5,Opportunity Created,19744908.33,2026-04-11 16:57:39.423154,CMP_PAST_OIL_GAS_US
86721cfd-a070-4c7e-9d66-1b74d1327eb7,191,5,Opportunity Created,19043568.96,2025-07-12 14:57:39.423154,CMP_PAST_MIDDLE_EAST
633ca507-0151-4988-8bea-660eb48a592f,207,5,Opportunity Created,14267528.54,2026-08-15 13:57:39.423154,CMP_LIVE_OTC_2026
d09af57f-1354-4c5e-bf30-a01d864f63a4,238,6,Opportunity Created,16711102.96,2026-03-14 08:57:39.423154,CMP_PAST_OIL_GAS_US
a79edbb8-04d7-4c8d-bf7f-a3126d4fbc13,254,7,Opportunity Created,8081685.77,2026-03-16 19:57:39.423154,CMP_PAST_OIL_GAS_US
2d268af2-20ea-4e48-9795-a4e0dda570ba,256,7,Opportunity Created,12599159.06,2025-10-27 11:57:39.423154,CMP_PAST_MIDDLE_EAST
6c3aa1f6-0c34-4cd3-a8f5-8054274cb950,282,7,Opportunity Created,16615497.48,2025-09-28 16:57:39.423154,CMP_PAST_MIDDLE_EAST
a3194663-e32f-448f-bc2c-5e2757fcc73c,301,8,Opportunity Created,9205199.8,2026-03-11 06:57:39.423154,CMP_PAST_OIL_GAS_US
9e6fe5c5-3fe7-4464-822d-32f01565024e,322,9,Opportunity Created,14803514.28,2025-12-25 22:57:39.423154,CMP_PAST_OIL_GAS_US
c2074620-ea0d-465f-bef5-718f5fc65be6,354,9,Opportunity Created,5599108.84,2026-08-21 09:57:39.423154,CMP_LIVE_OTC_2026
7ed160f8-2772-4c8f-b2d5-580916013ade,364,10,Opportunity Created,13212881.75,2025-11-30 14:57:39.423154,CMP_PAST_MIDDLE_EAST
ddbbb092-3110-4aea-8ceb-469fabf684a4,368,10,Opportunity Created,16097243.24,2026-02-23 12:57:39.423154,CMP_PAST_OIL_GAS_US
b1530fce-0dd6-4695-8b66-8856e7f20273,390,10,Opportunity Created,14842628.45,2025-05-14 22:57:39.423154,CMP_PAST_O_M_2026
13d31502-fc1d-4bac-ab2a-3243b824a1b2,415,11,Opportunity Created,17963617.12,2026-04-16 17:57:39.423154,CMP_PAST_OIL_GAS_US
64cc5860-a644-435a-be03-1ee9c4fe9899,437,11,Opportunity Created,5098532.43,2026-03-16 22:57:39.423154,CMP_PAST_OIL_GAS_US
ff384d6e-7753-4440-9008-f6ff4a65c434,517,13,Opportunity Created,18409504.46,2026-04-27 16:57:39.423154,CMP_PAST_OIL_GAS_US
1a07ab23-df3e-46b7-96ec-2f9f8c203c78,522,14,Opportunity Created,12172091.39,2026-02-26 23:57:39.423154,CMP_PAST_OIL_GAS_US
24c7edfc-fe28-443e-a0b5-6a9f5f6fcaec,578,15,Opportunity Created,18807157.67,2025-06-13 00:57:39.423154,CMP_PAST_MIDDLE_EAST
6729adf7-28e5-4159-9178-87c15248f846,593,15,Opportunity Created,17950527.83,2025-01-07 12:57:39.423154,CMP_PAST_O_M_2026
