event_id,campaign_id,ad_id,click_id,utm_source,spend_consumed,timestamp
c774dd09-52bf-4d99-bbe0-c67d0168b6d0,CMP_LIVE_GASTECH_2026,AD_101,002b9f7b-c4d0-4c8d-b7b7-b7808ef7cd91,linkedin,1483.87,2026-08-21 15:49:38.735296
d3c54f53-123a-4bff-8e08-6bb43df7e31c,CMP_PAST_OIL_GAS_US,AD_101,4d189a25-c918-4aaf-8639-4aeecc62e2be,linkedin,1369.08,2026-02-08 09:49:38.735296
a0142cdf-defa-4cdf-9599-1d7a538ce4a1,CMP_PAST_OIL_GAS_US,AD_101,198c9485-c1c7-4e01-8058-ede7d26c49be,linkedin,2012.58,2025-12-17 01:49:38.735296
14734abd-0d7a-417a-a4c4-0cd746ac6447,CMP_PAST_OIL_GAS_US,AD_101,8bd35a37-ee14-4508-a220-513930973507,linkedin,2527.27,2026-03-19 11:49:38.735296
45704d73-f138-472c-9c26-56d08f044b79,CMP_PAST_MIDDLE_EAST,AD_101,14a1b3e7-4fcb-412b-b27d-d248b6e43f80,linkedin,3851.17,2025-04-24 03:49:38.735296
5c5a3f37-c832-4d38-bbeb-030d3566aecb,CMP_LIVE_GASTECH_2026,AD_101,41e1f02a-6650-4709-b4ce-a244a4a9a591,linkedin,1148.7,2026-08-18 02:49:38.735296
f204d229-5e7e-43f8-89cb-c800f423e6df,CMP_PAST_MIDDLE_EAST,AD_101,7318d918-8a9e-42be-84c3-96cecc2ebc48,linkedin,4392.8,2025-07-30 08:49:38.735296
41a8fb2c-5293-4be9-83e2-c6f66b942bde,CMP_PAST_MIDDLE_EAST,AD_101,c5c5ad0a-c8c7-4cf0-b5ce-246991db1476,linkedin,4048.75,2025-05-31 20:49:38.735296
21f7b1d9-dac3-492e-aed3-bcba9a0e3def,CMP_LIVE_OTC_2026,AD_101,2850989d-665f-4e89-8839-7da9f9ad2b21,linkedin,4479.06,2026-08-20 01:49:38.735296
25b70f50-5011-427f-8efd-4b706a890aa1,CMP_PAST_MIDDLE_EAST,AD_101,74b6bc4d-b590-4c58-b833-65b2dc9c7888,linkedin,4054.93,2025-11-02 12:49:38.735296
