event_id,user_id,account_id,event_type,pipeline_value,timestamp,utm_campaign
0afb3031-3ebb-49a8-856c-9110e2428f7d,16,1,Opportunity Created,15091935.06,2026-04-08 20:22:51,CMP_LIVE_DIGITAL_TWIN
f87614c5-7dab-488c-a4cb-88f3211baeb5,16,1,Closed Won,7210309.43,2026-06-27 20:22:51,CMP_LIVE_DIGITAL_TWIN
15dfc324-7d93-4dea-898b-fb60bda8032a,17,1,Opportunity Created,19141124.86,2025-07-24 20:22:51,CMP_PAST_ASSET_OPTIMIZATION
109316c1-307e-4dcd-bc39-9e8161d607a5,19,1,Opportunity Created,9194877.32,2026-05-07 20:22:51,CMP_LIVE_DECARBONIZATION_25_26
94d05235-5939-44bd-93fd-0ef263f03535,23,1,Opportunity Created,12507082.66,2026-05-06 20:22:51,CMP_LIVE_DECARBONIZATION_25_26
9a3ca700-14d1-413d-b886-406cd567e7c8,24,1,Opportunity Created,13238294.59,2025-07-02 20:22:51,CMP_PAST_SUSTAINABLE_ENGINEERING
8e76b12b-7b54-476c-ab2e-9bfa4768ad69,31,1,Opportunity Created,9532852.62,2025-08-04 20:22:51,CMP_PAST_ASSET_OPTIMIZATION
c56cd825-8a67-40e4-96e1-176d05cb4ab8,32,1,Opportunity Created,6648895.22,2026-07-02 20:22:51,CMP_LIVE_DIGITAL_TWIN
6ca20b7d-32bd-4c5b-bcc7-405d1e7853a0,33,1,Opportunity Created,6448466.49,2025-12-26 20:22:51,CMP_LIVE_HYDROGEN_INFRASTRUCTURE
4caad37e-0418-40ee-a784-19d1400d383b,62,2,Opportunity Created,12118853.21,2025-03-23 20:22:51,CMP_PAST_ASSET_OPTIMIZATION
06000fff-046c-42ea-be08-9d77ea88dab8,71,2,Opportunity Created,8609994.41,2026-07-01 20:22:51,CMP_LIVE_DECARBONIZATION_25_26
f365231c-219f-4b26-9029-ea1abd932a9f,71,2,Closed Won,11696615.99,2026-08-08 20:22:51,CMP_LIVE_DECARBONIZATION_25_26
